NTP,Acc-X,Acc-Y,Acc-Z,Roughness_Label,Curb_Label
2024-05-28 15:21:46.832,6.0729837,6.9113693,3.0819557,roughness_medium,
2024-05-28 15:21:46.901,6.0897336,6.8946195,3.0532417,roughness_medium,
2024-05-28 15:21:47.000,6.0634127,7.112366,2.7538397,roughness_medium,
2024-05-28 15:21:47.100,6.4944196,6.8371916,3.290131,roughness_medium,
2024-05-28 15:21:47.202,6.760023,6.6239314,3.4025939,roughness_medium,
2024-05-28 15:21:47.301,6.326922,7.0357957,2.7969105,roughness_medium,
2024-05-28 15:21:47.400,6.7313094,6.8539414,2.9575288,roughness_medium,
2024-05-28 15:21:47.501,5.95095,7.1339016,3.1633115,roughness_medium,
2024-05-28 15:21:47.602,5.531907,7.098009,3.4049866,roughness_medium,
2024-05-28 15:21:47.700,6.108876,7.57448,2.5241287,roughness_medium,
2024-05-28 15:21:47.801,6.1232333,6.885048,3.3667014,roughness_medium,
2024-05-28 15:21:47.902,5.366802,7.1434727,2.3638096,roughness_medium,
2024-05-28 15:21:48.002,5.800202,7.033403,3.0652058,roughness_medium,
2024-05-28 15:21:48.100,6.1495543,7.7946196,3.0293136,roughness_medium,
2024-05-28 15:21:48.200,5.622834,6.956833,2.696412,roughness_medium,
2024-05-28 15:21:48.302,5.2519464,8.096415,2.2941186,roughness_medium,
2024-05-28 15:21:48.401,6.3341007,8.027022,2.586342,roughness_medium,
2024-05-28 15:21:48.502,5.7667027,5.9344993,2.3371894,roughness_medium,
2024-05-28 15:21:48.600,4.686941,5.896214,4.619045,roughness_medium,
2024-05-28 15:21:48.701,7.614859,6.291329,3.306881,roughness_medium,
2024-05-28 15:21:48.802,4.449753,7.818548,3.251846,roughness_medium,
2024-05-28 15:21:48.901,5.8360944,5.843572,4.9492545,roughness_medium,
2024-05-28 15:21:49.000,5.749953,7.5720873,3.0293136,roughness_medium,
2024-05-28 15:21:49.103,8.433503,6.281758,3.8671005,roughness_medium,
2024-05-28 15:21:49.202,7.4401827,7.5409803,4.295715,roughness_medium,
2024-05-28 15:21:49.300,7.3345995,8.261519,2.0739791,roughness_medium,
