NTP,Gyr-X,Gyr-Y,Gyr-Z,Roughness_Label,Curb_Label
2024-05-28 15:21:46.832,0.014354911,-0.006413896,-0.00045813544,roughness_medium,
2024-05-28 15:21:46.901,-0.00030542363,-0.013744064,0.01175881,roughness_medium,
2024-05-28 15:21:47.003,0.00335966,0.010689827,0.0056503373,roughness_medium,
2024-05-28 15:21:47.100,0.029015245,0.020463383,0.010537115,roughness_medium,
2024-05-28 15:21:47.202,-0.013744064,-0.02107423,0.009315421,roughness_medium,
2024-05-28 15:21:47.301,0.016798299,-0.011300675,0.012980504,roughness_medium,
2024-05-28 15:21:47.404,0.0070247436,0.014354911,-0.013896775,roughness_medium,
2024-05-28 15:21:47.502,-0.012522369,0.05222744,-0.027335415,roughness_medium,
2024-05-28 15:21:47.601,-0.0015271181,0.0070247436,-0.035887275,roughness_medium,
2024-05-28 15:21:47.700,0.019241689,0.008246438,-0.037108973,roughness_medium,
2024-05-28 15:21:47.802,0.021685077,0.009468133,-0.04566083,roughness_medium,
2024-05-28 15:21:47.901,-0.055281676,0.05467083,-0.04566083,roughness_medium,
2024-05-28 15:21:48.002,0.06933116,0.03634541,0.014202199,roughness_medium,
2024-05-28 15:21:48.102,-0.046729814,-0.12858334,0.009315421,roughness_medium,
2024-05-28 15:21:48.200,-0.07849387,0.0045813546,-0.022448637,roughness_medium,
2024-05-28 15:21:48.302,0.026571855,0.16584504,-0.062764555,roughness_medium,
2024-05-28 15:21:48.401,0.053449135,-0.032069482,0.008093726,roughness_medium,
2024-05-28 15:21:48.502,-0.21532366,-0.022295926,-0.031000499,roughness_medium,
2024-05-28 15:21:48.600,0.08154811,0.04123219,-0.11407573,roughness_medium,
2024-05-28 15:21:48.701,0.021685077,0.26724568,0.042301174,roughness_medium,
2024-05-28 15:21:48.802,-0.09071082,-0.06261184,-0.06520794,roughness_medium,
2024-05-28 15:21:48.901,-0.038177952,0.42606595,-0.060321167,roughness_medium,
2024-05-28 15:21:49.001,0.010689827,0.046118967,-0.06398625,roughness_medium,
2024-05-28 15:21:49.103,0.06810947,0.037567105,0.04352287,roughness_medium,
2024-05-28 15:21:49.200,0.09132166,0.19150062,0.15469708,roughness_medium,
2024-05-28 15:21:49.300,-0.024739314,0.31122667,0.0581832,roughness_medium,
2024-05-28 15:21:49.401,0.05955761,0.0070247436,0.008093726,roughness_medium,
2024-05-28 15:21:49.501,-0.22387552,0.049784053,0.09605573,roughness_medium,
2024-05-28 15:21:49.600,0.118198946,1.0491302,0.003206948,roughness_medium,
2024-05-28 15:21:49.702,-0.2043284,-0.02351762,0.026419144,roughness_medium,
2024-05-28 15:21:49.800,-0.16523418,-0.3130592,-0.016340164,roughness_medium,
2024-05-28 15:21:49.900,0.074217945,-0.7614211,-0.13728791,roughness_medium,
2024-05-28 15:21:50.002,0.18661384,0.31855685,0.08872557,roughness_medium,
2024-05-28 15:21:50.101,-0.7345438,-0.0503949,-0.00045813544,roughness_medium,
